종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","79600","1100","1.40","4.75194691E8"
"000660","SK하이닉스","142400","900","0.64","1.03667537E8"
"373220","LG에너지솔루션","429500","2000","0.47","1.00503E8"
"207940","삼성바이오로직스","789000","29000","3.82","5.6156286E7"
"005380","현대차","200500","-3000","-1.47","4.2412067E7"
"005490","POSCO홀딩스","488000","-11500","-2.30","4.127076E7"
"000270","기아","97600","-2400","-2.40","3.9239514E7"
"035420","NAVER","227500","3500","1.56","3.6947955E7"
"051910","LG화학","493500","-5500","-1.10","3.4837321E7"
"068270","셀트리온","231500","30000","14.89","3.3892241E7"
"006400","삼성SDI","467000","-5000","-1.06","3.2113036E7"
"003670","포스코퓨처엠","352000","-7000","-1.95","2.7267053E7"
"035720","카카오","57900","3600","6.63","2.5750976E7"
"028260","삼성물산","129300","-200","-0.15","2.3997003E7"
"012330","현대모비스","236000","-1000","-0.42","2.2102602E7"
"105560","KB금융","53600","-500","-0.92","2.1628193E7"
"055550","신한지주","39350","-800","-1.99","2.028509E7"
"066570","LG전자","101400","-400","-0.39","1.6593888E7"
"011200","HMM","20600","1020","5.21","1.4194214E7"
"096770","SK이노베이션","140200","-100","-0.07","1.411191E7"
"450080","에코프로머티","199900","11400","6.05","1.3790145E7"
"032830","삼성생명","68200","-900","-1.30","1.364E7"
"323410","카카오뱅크","28000","-500","-1.75","1.335144E7"
"003550","LG","84800","-1100","-1.28","1.3339124E7"
"018260","삼성에스디에스","169600","-400","-0.24","1.3123275E7"
"034730","SK","180500","2500","1.40","1.3212298E7"
"086790","하나금융지주","42800","-600","-1.38","1.2512862E7"
"000810","삼성화재","260000","-3000","-1.14","1.2317458E7"
"015760","한국전력","18840","-60","-0.32","1.2094603E7"
"033780","KT&G","89300","2400","2.76","1.1950349E7"
"138040","메리츠금융지주","58800","-300","-0.51","1.195828E7"
"009150","삼성전기","158100","4900","3.20","1.1809073E7"
"329180","HD현대중공업","127000","-2000","-1.55","1.1274186E7"
"017670","SK텔레콤","49950","-150","-0.30","1.0930716E7"
"047050","포스코인터내셔널","59200","-3200","-5.13","1.0414629E7"
"034020","두산에너빌리티","16010","110","0.69","1.0255384E7"
"010130","고려아연","486000","-12000","-2.41","1.0161574E7"
"352820","하이브","241500","8000","3.43","1.0058981E7"
"316140","우리금융지주","12840","-160","-1.23","9655031.0"
"024110","기업은행","11790","-70","-0.59","9401651.0"
"259960","크래프톤","195800","2200","1.14","9469425.0"
"030200","KT","34150","-250","-0.73","8805945.0"
"003490","대한항공","23900","0","0.00","8800474.0"
"009540","HD한국조선해양","118500","-2400","-1.99","8386614.0"
"090430","아모레퍼시픽","141200","-3800","-2.62","8259178.0"
"326030","SK바이오팜","103100","2700","2.69","8074096.0"
"042660","한화오션","25450","350","1.39","7796834.0"
"010950","S-Oil","68600","-1000","-1.44","7723180.0"
"402340","SK스퀘어","52700","100","0.19","7324301.0"
"086280","현대글로비스","187000","-4500","-2.35","7012500.0"
"010140","삼성중공업","7860","110","1.42","6916800.0"
"377300","카카오페이","49750","450","0.91","6679687.0"
"012450","한화에어로스페이스","129700","5200","4.18","6566711.0"
"009830","한화솔루션","38600","-900","-2.28","6635052.0"
"011170","롯데케미칼","146200","-7000","-4.57","6253766.0"
"001570","금양","105900","-3300","-3.02","6147499.0"
"005830","DB손해보험","81600","-2100","-2.51","5777280.0"
"361610","SK아이이테크놀로지","80900","2000","2.53","5767975.0"
"302440","SK바이오사이언스","73300","1300","1.81","5628271.0"
"161390","한국타이어앤테크놀로지","45350","-50","-0.11","5617734.0"
"011070","LG이노텍","240500","1000","0.42","5691939.0"
"051900","LG생활건강","354000","-1000","-0.28","5528842.0"
"000100","유한양행","67800","-1000","-1.45","5196101.0"
"180640","한진칼","78200","5400","7.42","5220810.0"
"028050","삼성엔지니어링","26800","-2200","-7.59","5252800.0"
"036570","엔씨소프트","240000","-500","-0.21","5268965.0"
"251270","넷마블","58000","-100","-0.17","4985303.0"
"047810","한국항공우주","51300","1300","2.60","5000473.0"
"241560","두산밥캣","49500","-900","-1.79","4962334.0"
"097950","CJ제일제당","323000","-1000","-0.31","4862502.0"
"004020","현대제철","36600","100","0.27","4884116.0"
"267250","HD현대","62600","-700","-1.11","4944967.0"
"034220","LG디스플레이","13350","610","4.79","4776840.0"
"271560","오리온","116900","800","0.69","4621774.0"
"032640","LG유플러스","10170","-60","-0.59","4440338.0"
"128940","한미약품","358000","5500","1.56","4497253.0"
"006800","미래에셋증권","7520","-110","-1.44","4551979.0"
"021240","코웨이","55700","-1500","-2.62","4110639.0"
"018880","한온시스템","7310","20","0.27","3902078.0"
"000720","현대건설","34550","-350","-1.00","3847342.0"
"029780","삼성카드","32100","-250","-0.77","3719070.0"
"078930","GS","40550","-350","-0.86","3767719.0"
"011780","금호석유","129300","-3600","-2.71","3691215.0"
"016360","삼성증권","38100","-400","-1.04","3402330.0"
"071050","한국금융지주","59200","-2100","-3.43","3298979.0"
"035250","강원랜드","15840","-160","-1.00","3388818.0"
"383220","F&F","87300","-1900","-2.13","3344208.0"
"272210","한화시스템","18160","800","4.61","3430776.0"
"005940","NH투자증권","10160","-170","-1.65","3369726.0"
"010620","현대미포조선","85400","500","0.59","3411060.0"
"011790","SKC","88800","-1800","-1.99","3362705.0"
"006260","LS","91600","-1600","-1.72","2949520.0"
